Location,Country,Latitude,Longitude
Bologna,Italy,44.4949,11.3426
Chiaramonte Gulfi,Italy,37.0318,14.7023
Florence,Italy,43.7696,11.2558
Rimini,Italy,44.0678,12.5695
Rome,Italy,41.9028,12.4964
Sienna,Italy,43.3188,11.3308
Milano,Italy,45.4642,9.19
Catania,Italy,37.5079,15.083
Munich,Germany,48.1351,11.582
Paris,France,48.8566,2.3522
London,United Kingdom,51.5072,-0.1276
Marakech,Morocco,31.6295,-7.9811
Modena,Italy,44.6471,10.9252
Antigua,Guatemala,14.5597,-90.7343
Lake Atitlan,Guatemala,14.69,-91.2
Chicago,USA,41.8781,-87.6298
D.C,USA,38.9072,-77.0369
New York,USA,40.7128,-74.006
St. Augustine,USA,29.9012,-81.3124
Florida Keys,USA,24.6696,-81.2557
seattle,USA,47.6062,-122.3321
San Diego,USA,32.7157,-117.1611
Los Angeles,USA,34.0522,-118.2437
San Francisco,USA,37.7749,-122.4194
Santa Barbara,USA,34.4208,-119.6982
Milwaukee,USA,43.0389,-87.9065
Boston,USA,42.3601,-71.0589
KennebunkPort,USA,43.3617,-70.4767
Napoli,Italy,40.8518,14.2681
Sorrento,Italy,40.6263,14.3758
Amalfi Coast,Italy,40.6333,14.6029
San Marino,San Marino,43.9424,12.4578
Imola,Italy,44.3559,11.7161
Ferrara,Italy,44.8381,11.6198
Cinque Terre,Italy,44.127,9.709
Venice,Italy,45.4408,12.3155
Orlando,USA,28.5383,-81.3792
Atlanta,USA,33.749,-84.388
Charlotte,USA,35.2271,-80.8431
Norfolk,USA,36.8508,-76.2859
Richmond,USA,37.5407,-77.436
Baltimore,USA,39.2904,-76.6122
Boston,USA,42.3601,-71.0589
Sheboygan,USA,43.7508,-87.7145
Okinawa,Japan,26.2123,127.6792
